"alias";"railway";"express";"esr";"name"
"";"Д-В";"2034000";"";"ХАБАРОВСК"
"";"Д-В";"2034137";"";"ВЛАДИВОСТОК ГОРОД"
"";"Д-В";"2034401";"";"РАБОЧАЯ"
"";"Д-В";"2034402";"";"МАЛЬЦЕВСКАЯ"
"";"Д-В";"2034472";"";"КАМЕНЬ-РЫБАЛОВ"
"";"Д-В";"2034477";"";"КРАСКИНО"
"";"Д-В";"2034523";"";"ДЕСНА РЗД."
"";"Д-В";"2034524";"";"ОСТ.ПУНКТ N1"
"";"Д-В";"2034633";"";"СМАРСКИЙ"
"";"Д-В";"2034636";"";"КОМСОМОЛЬСК НА АМУРЕ"
"";"Д-В";"2034707";"";"АРТЕМ ПРИМОРСКИЙ 1"
"";"Д-В";"2034709";"";"АРТЕМ ПРИМОРСКИЙ 3"
"";"Д-В";"2034719";"";"ПОСТ 132 КМ"
"";"Д-В";"2034742";"";"ПЛАТФОРМА 151 КМ"
"";"Д-В";"2034743";"";"НАХОДКА ВОСТОЧНАЯ"
"";"Д-В";"2035610";"";"МЫС ЧУРКИН"
"";"Д-В";"2035659";"";"ТАЛОВЫЙ ВОСТОЧНЫЙ"
"";"Д-В";"2035702";"";"КОМСОМОЛЬСК СОРТИРОВОЧ"
"";"Д-В";"2035714";"";"КОМСОМОЛЬСК 2"
"";"Д-В";"2048044";"";"СТЛАННИК"
"";"Д-В";"2048107";"";"НОВОБЕЛЬМАНОВКА"
"";"Д-В";"2048111";"";"ХМЫЛОВСКИЙ"
"";"Д-В";"2048121";"";"ПОСТ ПОКРОВСКИЙ"
"";"Д-В";"2048122";"";"БЛОК ПОСТ 1875 КМ"
"";"Д-В";"2048143";"";"ТАСС-ЮРЯХ"
"";"ДОН";"0020225";"";"ИЗВАРИНО-ЗАМЧАЛОВО ГР."
"";"ДОН";"0022204";"";"ГРАКОВКА-ШАЛАЕВО ГРАН."
"";"ДОН";"0022207";"";"ГАЛУТА-ЗАКАРДОННЫЙ ГР."
"";"ДОН";"0022208";"";"КРАСН.МОГИЛА-ЗАПОВЕДН."
"";"ДОН";"0022209";"";"ОЛЬХОВАЯ-ЧЕБОТОВКА ГР."
"";"ДОН";"2214002";"";"МЕЛОВАТКА"
"";"ДОН";"2214003";"";"ЩЕБРЕЦ"
"";"ДОН";"2214004";"";"ПЕРЕЛЕСКИ"
"";"ДОН";"2214005";"";"ОБГОННЫЙ ПУНКТ 347 КМ"
"";"ДОН";"2214006";"";"ЖЕЛАННАЯ"
"";"ДОН";"2214007";"";"НОВОСОСНОВСКИЙ"
"";"ДОН";"2214012";"";"КРАСНОРЕЦКАЯ"
"";"ДОН";"2214014";"";"УДАЧНАЯ"
"";"ДОН";"2214016";"";"ЖИТЛОВКА"
"";"ДОН";"2214017";"";"ЗАБИРКИНО"
"";"ДОН";"2214018";"";"ЮНЫЙ"
"";"ДОН";"2214019";"";"ОСТ.ПУНКТ 941 КМ"
"";"ДОН";"2214021";"";"ОСТ.ПУНКТ 955 КМ"
"";"ДОН";"2214022";"";"ОСТ.ПУНКТ 969 КМ"
"";"ДОН";"2214025";"";"ДОЛЯ"
"";"ДОН";"2214026";"";"УЧЕНИЧЕСКИЙ"
"";"ДОН";"2214027";"";"НЕЖНЯНСКИЙ"
"";"ДОН";"2214028";"";"ОСТ.ПУНКТ 68 КМ"
"";"ДОН";"2214029";"";"ОСТ.ПУНКТ 927 КМ"
"";"ДОН";"2214031";"";"ДЕМЕНКОВО"
"";"ДОН";"2214032";"";"АЛЕКСАНДРОВКА"
"";"ДОН";"2214033";"";"ОСТ.ПУНКТ 14 КМ"
"";"ДОН";"2214034";"";"ЯСИНОВАТАЯ"
"";"ДОН";"2214036";"";"КОХАНА"
"";"ДОН";"2214037";"";"ЯСИНОВАТАЯ-ГОРКА"
"";"ДОН";"2214038";"";"ДОНЕЦК-СЕВ"
"";"ДОН";"2214046";"";"ЯЗЫКОВО"
"";"ДОН";"2214049";"";"БАНТЫШЕВО"
"";"ДОН";"2214051";"";"ШИДЛОВСКАЯ"
"";"ДОН";"2214053";"";"МАШЧЕРМЕТ"
"";"ДОН";"2214058";"";"ФОРПОСТНАЯ"
"";"ДОН";"2214059";"";"НОВОСЕЛОВКА"
"";"ДОН";"2214062";"";"ЕЛОЧНЫЙ"
"";"ДОН";"2214067";"";"ПРИЛЕЖНЫЙ"
"";"ДОН";"2214071";"";"ЗОВНАЯ"
"";"ДОН";"2214072";"";"РАЗДОЛОВКА"
"";"ДОН";"2214074";"";"ШЕВЧЕНКО"
"";"ДОН";"2214075";"";"МАЛОИЛЬШЕВСКАЯ"
"";"ДОН";"2214081";"";"КЛЕЩЕЕВКА"
"";"ДОН";"2214082";"";"КУРДЮМОВКА"
"";"ДОН";"2214083";"";"МАЙОРСКАЯ"
"";"ДОН";"2214088";"";"ШПИЧКИНО"
"";"ДОН";"2214091";"";"КОНДРАТЬЕВКА"
"";"ДОН";"2214093";"";"ПЛЕЩЕЕВКА"
"";"ДОН";"2214094";"";"КРИВОЙ ТОРЕЦ"
"";"ДОН";"2214096";"";"СКОТОВАТАЯ"
"";"ДОН";"2214097";"";"АЛЕБАСТРОВАЯ"
"";"ДОН";"2214098";"";"ДЫЛЕЕВКА"
"";"ДОН";"2214099";"";"МАГДАЛИНОВКА"
"";"ДОН";"2214102";"";"ОСТ.ПУНКТ 470 КМ"
